mij_mii,mij
.0001195,.0000971
.0078762,.0063996
.000065,.0000528
.0007327,.0005953
.0002081,.0001691
.0007327,.0005953
.0000593,.0000482
.0001505,.0001223
.0000916,.0000744
.0104405,.0084832
.0009207,.0007481
.0001832,.0001488
.0000928,.0000754
.0000916,.0000744
.0001595,.0001296
.0014653,.0011906
.0001034,.000077
.0006203,.0004617
.0002843,.0002116
.0191264,.0142363
.0000258,.0000192
.0000517,.0000385
.0000258,.0000192
.0036444,.0027126
.0000775,.0000577
.001008,.0007503
.0003877,.0002886
.0833032,.0620049
.0000699,.000052
.0001292,.0000962
.0000813,.0000605
.0001809,.0001347
.0000258,.0000192
.0004652,.0003463
.0000775,.0000577
.0016025,.0011928
.0000842,.0000626
.0003102,.0002309
1,.744328
.1377617,.1025399
.0002843,.0002116
.0015508,.0011543
.0000258,.0000192
.001008,.0007503
.0000775,.0000577
.0011372,.0008465
.0002843,.0002116
.0109589,.008157
.0000258,.0000192
.0000775,.0000577
.0000659,.000049
.0003877,.0002886
.0001034,.000077
.001344,.0010004
.0001583,.0001179
.0005945,.0004425
.0001034,.000077
.0012406,.0009234
.0002326,.0001731
.0041354,.0030781
.0006979,.0005194
.0239855,.0178531
.0001292,.0000962
.0032825,.0024433
.0001292,.0000962
.0030499,.0022701
.0001034,.000077
.0001034,.000077
.0001809,.0001347
.0146549,.0109081
.0029723,.0022124
.003877,.0028857
.0001292,.0000962
.0006979,.0005194
.0002843,.0002116
.0159731,.0118892
.0001469,.0001225
.0004406,.0003674
.0001469,.0001225
.0174769,.0145731
.000101,.0000842
.0002937,.0002449
.0000917,.0000765
.002203,.0018369
.0001469,.0001225
.0002937,.0002449
.0001469,.0001225
.049787,.041515
.0000778,.0000649
.0014686,.0012246
.0000905,.0000755
.0001469,.0001225
.0000612,.000051
.0011749,.0009797
.0005326,.0004441
.0002937,.0002449
.0000938,.0000782
.0002937,.0002449
.0716698,.0597621
1,.8338524
.0009028,.0007528
.0014686,.0012246
.000141,.0001176
.0008812,.0007348
.0005462,.0004554
.0002937,.0002449
.0001469,.0001225
